#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_bicol;Bicol;Bicol;Bicol;;Bicol;;;;;;;;;x
d_bicol_adj;Bicolian;;bicoler;;;;;;;;;;;x
d_cagayan;Cagayan;Cagayan;Cagayan;;Cagayan;;;;;;;;;x
d_cagayan_adj;Cagayanian;;cagayaner;;;;;;;;;;;x
d_calabarzon;Calabarzon;Calabarzon;Calabarzon;;Calabarzon;;;;;;;;;x
d_calabarzon_adj;Calabarzonian;;calabarzoner;;;;;;;;;;;x
d_cordillera;Cordillera;Cordillera;Cordillera;;Cordillera;;;;;;;;;x
d_cordillera_adj;Cordilleran;;cordillerer;;;;;;;;;;;x
d_ilocos;Ilocos;Ilocos;Ilocos;;Ilocos;;;;;;;;;x
d_ilocos_adj;Ilocosian;;ilocoser;;;;;;;;;;;x
d_mimaropa;Mimaropa;Mimaropa;Mimaropa;;Mimaropa;;;;;;;;;x
d_mimaropa_adj;Mimaropan;;mimaroper;;;;;;;;;;;x
d_mindoro;Mindoro;Mindoro;Mindoro;;Mindoro;;;;;;;;;x
d_mindoro_adj;Mindorian;;mindorer;;;;;;;;;;;x
d_visayas;Visayas;Visayas;Visayas;;Visayas;;;;;;;;;x
d_visayas_adj;Visayasian;;visayaser;;;;;;;;;;;x
